nfl_id,player_name,player_position,opportunities
53554,Camryn Bynum,FS,151
40017,Tyrann Mathieu,FS,151
52607,Jordan Fuller,FS,141
44926,Rayshawn Jenkins,SS,140
52613,Josh Metellus,SS,140
52624,Kam Curl,SS,138
55910,Brian Branch,SS,134
46086,Derwin James,SS,133
52453,Antoine Winfield Jr.,FS,132
52445,Kyle Dugger,SS,127
46123,Jessie Bates,SS,127
52493,Julian Blackmon,FS,124
54479,Kyle Hamilton,SS,123
54562,Kerby Joseph,FS,122
52444,Xavier McKinney,SS,121
56540,Christian Izien,SS,121
47891,Julian Love,SS,120
54513,Jaquan Brisker,SS,120
43353,Kevin Byard,FS,120
43387,Justin Simmons,FS,119
54808,Reed Blankenship,FS,119
52627,Geno Stone,FS,119
46137,Justin Reid,SS,116
38559,Harrison Smith,FS,116
46259,DeShon Elliott,SS,110
54718,Russ Yeast,FS,107
47899,Amani Hooker,SS,107
42543,Quandre Diggs,FS,107
52594,Alohi Gilman,FS,106
47974,Marcus Epps,SS,103
53472,Tre'von Moehrig,SS,102
54502,Jalen Pitre,FS,102
53469,Richie Grant,SS,100
46186,Jordan Whitehead,SS,97
38868,Tashaun Gipson,FS,97
47996,Donovan Wilson,FS,96
53494,Andre Cisco,FS,96
53604,Jason Pinnock,FS,95
52535,K'Von Wallace,FS,95
40166,Jordan Poyer,SS,94
49410,Jalen Thompson,FS,93
43533,Jayron Kearse,FS,93
46669,Jonathan Owens,SS,93
40107,Micah Hyde,FS,92
44962,Damontae Kazee,FS,92
53529,Elijah Molden,FS,87
54578,Percy Butler,SS,87
44837,Jabrill Peppers,SS,86
44854,Marcus Williams,FS,85
45004,Xavier Woods,FS,82
54676,Quentin Lake,FS,82
53465,Jevon Holland,FS,81
48026,Nick Scott,FS,79
54704,Rodney Thomas,FS,78
54833,Tony Adams,SS,78
46151,Tracy Walker III,FS,77
55149,Markquese Bell,SS,76
46080,Minkah Fitzpatrick,FS,75
46127,Isaiah Oliver,FS,75
44903,John Johnson,SS,75
56011,Jordan Howden,FS,74
47882,Mike Edwards,FS,74
48447,P.J. Locke,SS,72
44925,Eddie Jackson,FS,71
53609,Talanoa Hufanga,SS,71
43350,Vonn Bell,SS,70
46711,Ryan Neal,SS,68
52452,Grant Delpit,SS,68
44827,Malik Hooker,SS,66
41256,Jimmie Ward,FS,66
46097,Terrell Edmunds,FS,65
44848,Budda Baker,SS,64
47846,Juan Thornhill,FS,62
54527,Bryan Cook,FS,61
45021,Rudy Ford,FS,59
52478,Brandon Jones,FS,58
43474,DeAndre Houston-Carson,FS,57
43306,Keanu Neal,FS,57
53530,Ifeatu Melifonwu,SS,56
55912,Quan Martin,FS,55
55960,Jordan Battle,SS,55
47804,Darnell Savage,FS,53
54719,Elijah Hicks,FS,52
35459,Kareem Jackson,SS,51
46807,Andre Chachere,SS,46
55931,Sydney Brown,SS,46
46672,Tavierre Thomas,FS,45
44851,Marcus Maye,FS,44
56107,Anthony Johnson Jr.,FS,43
56089,DeMarcco Hellams,SS,43
44862,Justin Evans,FS,42
55952,Ji'Ayir Brown,SS,41
47844,Taylor Rapp,FS,40
48508,Andrew Wingard,FS,37
42485,Adrian Amos,FS,37
54579,Dane Belton,SS,35
52472,Jeremy Chinn,SS,35
55984,Chamarri Conner,SS,32
42901,Dean Marlowe,SS,32
56405,Ronnie Hickman Jr.,FS,32
42390,Eric Rowe,SS,31
54561,Nick Cross,SS,31
47864,Will Harris,SS,30
53592,Darrick Forrest,FS,30
52939,Sam Franklin Jr.,FS,30
47810,Johnathan Abram,SS,29
54574,Coby Bryant,FS,28
54915,D'Anthony Bell,SS,27
56025,Antonio Johnson,SS,25
47888,C.J. Gardner-Johnson,SS,25
52897,Grayland Arnold,FS,24
52476,Ashtyn Davis,SS,23
55166,Juanyeh Thomas,FS,22
53819,Ar'Darius Washington,FS,21
46122,M.J. Stewart,FS,21
43400,Miles Killebrew,FS,21
46501,Elijah Campbell,FS,21
54962,Trenton Thompson,SS,20
40039,Duron Harmon,SS,20
54617,Delarrin Turner-Yell,FS,20
52512,Terrell Burgess,FS,20
52542,Jaylinn Hawkins,FS,20
48487,Cam Lewis,FS,20
38843,Rodney McLeod,FS,19
42116,Adrian Phillips,FS,17
54669,Theo Jackson,FS,16
47837,Lonnie Johnson,FS,15
56543,Kaevon Merriweather,SS,14
47915,Ugo Amadi,FS,14
40031,Logan Ryan,FS,13
55081,Mike Brown,FS,12
43395,Eric Murray,SS,12
56230,Alex Cook,SS,11
55100,Isaiah Pola-Mao,FS,11
43616,Matthias Farley,FS,11
43366,Daryl Worley,FS,10
52904,Elijah Riley,FS,10
55999,Jay Ward,SS,7
43413,Deon Bush,SS,6
53656,Israel Mukuamu,FS,6
46223,Siran Neal,FS,6
55054,Raheem Layne,SS,6
55109,Tayler Hawkins,SS,6
46680,Sean Chandler,SS,6
46349,George Odum,FS,5
56099,Jason Taylor,FS,5
56407,Tanner McCalister,FS,5
56010,Jammie Robinson,SS,5
53049,Shyheim Carter,FS,4
48581,Roderic Teamer,SS,4
56141,Quindell Johnson,SS,4
56035,Chris Smith II,FS,3
48206,Micah Abernathy,FS,3
44865,Teez Tabor,FS,2
56586,AJ Finley,FS,2
56063,Jerrick Reed II,SS,2
55047,Tristin McCollum,SS,2
42488,Bobby McCain,SS,2
54819,Joey Blount,FS,2
53641,Damar Hamlin,SS,1
52565,Daniel Thomas,SS,1
54497,Lewis Cine,FS,1
39908,Erik Harris,FS,1
