nfl_id,player_name,position
56586,AJ Finley,FS
54718,Russ Yeast,FS
52453,Antoine Winfield Jr.,FS
54719,Elijah Hicks,FS
54808,Reed Blankenship,FS
54819,Joey Blount,FS
49410,Jalen Thompson,FS
48508,Andrew Wingard,FS
48487,Cam Lewis,FS
54891,A.J. Thomas,FS
48206,Micah Abernathy,FS
48026,Nick Scott,FS
47996,Donovan Wilson,FS
47915,Ugo Amadi,FS
47882,Mike Edwards,FS
55081,Mike Brown,FS
47846,Juan Thornhill,FS
47844,Taylor Rapp,FS
47837,Lonnie Johnson,FS
55100,Isaiah Pola-Mao,FS
47804,Darnell Savage,FS
54497,Lewis Cine,FS
46672,Tavierre Thomas,FS
55912,Quan Martin,FS
54704,Rodney Thomas,FS
46501,Elijah Campbell,FS
52478,Brandon Jones,FS
52512,Terrell Burgess,FS
53819,Ar'Darius Washington,FS
53656,Israel Mukuamu,FS
54527,Bryan Cook,FS
53604,Jason Pinnock,FS
53592,Darrick Forrest,FS
53554,Camryn Bynum,FS
54562,Kerby Joseph,FS
53529,Elijah Molden,FS
53494,Andre Cisco,FS
54574,Coby Bryant,FS
53465,Jevon Holland,FS
53049,Shyheim Carter,FS
52939,Sam Franklin Jr.,FS
52904,Elijah Riley,FS
52897,Grayland Arnold,FS
52627,Geno Stone,FS
54617,Delarrin Turner-Yell,FS
54669,Theo Jackson,FS
52607,Jordan Fuller,FS
52594,Alohi Gilman,FS
54676,Quentin Lake,FS
52542,Jaylinn Hawkins,FS
52535,K'Von Wallace,FS
52493,Julian Blackmon,FS
46349,George Odum,FS
55166,Juanyeh Thomas,FS
43616,Matthias Farley,FS
56099,Jason Taylor,FS
46223,Siran Neal,FS
43533,Jayron Kearse,FS
43474,DeAndre Houston-Carson,FS
56107,Anthony Johnson Jr.,FS
43400,Miles Killebrew,FS
43387,Justin Simmons,FS
43366,Daryl Worley,FS
43353,Kevin Byard,FS
43306,Keanu Neal,FS
42543,Quandre Diggs,FS
56035,Chris Smith II,FS
42485,Adrian Amos,FS
42116,Adrian Phillips,FS
41502,Daniel Sorensen,FS
41256,Jimmie Ward,FS
56407,Tanner McCalister,FS
40107,Micah Hyde,FS
40031,Logan Ryan,FS
40017,Tyrann Mathieu,FS
39908,Erik Harris,FS
38868,Tashaun Gipson,FS
38843,Rodney McLeod,FS
38559,Harrison Smith,FS
56405,Ronnie Hickman Jr.,FS
44851,Marcus Maye,FS
54502,Jalen Pitre,FS
45021,Rudy Ford,FS
44862,Justin Evans,FS
44865,Teez Tabor,FS
46122,M.J. Stewart,FS
45004,Xavier Woods,FS
46097,Terrell Edmunds,FS
44925,Eddie Jackson,FS
56011,Jordan Howden,FS
46127,Isaiah Oliver,FS
44962,Damontae Kazee,FS
44854,Marcus Williams,FS
46151,Tracy Walker III,FS
46080,Minkah Fitzpatrick,FS
46162,Ronnie Harrison,S
52991,Myles Bryant,S
56275,Kahlef Hailassie,S
54833,Tony Adams,SS
55984,Chamarri Conner,SS
55910,Brian Branch,SS
55149,Markquese Bell,SS
54561,Nick Cross,SS
55931,Sydney Brown,SS
55960,Jordan Battle,SS
54513,Jaquan Brisker,SS
56540,Christian Izien,SS
55109,Tayler Hawkins,SS
56010,Jammie Robinson,SS
55999,Jay Ward,SS
54579,Dane Belton,SS
56230,Alex Cook,SS
56225,Benny Sapp,SS
55054,Raheem Layne,SS
55047,Tristin McCollum,SS
56141,Quindell Johnson,SS
54962,Trenton Thompson,SS
54915,D'Anthony Bell,SS
56025,Antonio Johnson,SS
56089,DeMarcco Hellams,SS
56063,Jerrick Reed II,SS
54578,Percy Butler,SS
55952,Ji'Ayir Brown,SS
35459,Kareem Jackson,SS
53641,Damar Hamlin,SS
46669,Jonathan Owens,SS
46378,J.T. Gray,SS
46259,DeShon Elliott,SS
46186,Jordan Whitehead,SS
46137,Justin Reid,SS
46123,Jessie Bates,SS
46086,Derwin James,SS
44926,Rayshawn Jenkins,SS
44903,John Johnson,SS
44848,Budda Baker,SS
44837,Jabrill Peppers,SS
44827,Malik Hooker,SS
43757,Andrew Adams,SS
43413,Deon Bush,SS
43395,Eric Murray,SS
43350,Vonn Bell,SS
42901,Dean Marlowe,SS
42488,Bobby McCain,SS
42390,Eric Rowe,SS
40166,Jordan Poyer,SS
40039,Duron Harmon,SS
46680,Sean Chandler,SS
54479,Kyle Hamilton,SS
46711,Ryan Neal,SS
46908,Dallin Leavitt,SS
53609,Talanoa Hufanga,SS
53530,Ifeatu Melifonwu,SS
53472,Tre'von Moehrig,SS
53469,Richie Grant,SS
53187,Innis Gaines,SS
52624,Kam Curl,SS
52613,Josh Metellus,SS
52565,Daniel Thomas,SS
52476,Ashtyn Davis,SS
52472,Jeremy Chinn,SS
56543,Kaevon Merriweather,SS
52445,Kyle Dugger,SS
52444,Xavier McKinney,SS
48581,Roderic Teamer,SS
48447,P.J. Locke,SS
47974,Marcus Epps,SS
47899,Amani Hooker,SS
47891,Julian Love,SS
47888,C.J. Gardner-Johnson,SS
47864,Will Harris,SS
47810,Johnathan Abram,SS
46807,Andre Chachere,SS
52452,Grant Delpit,SS
