opportunity_id,game_id,play_id,nfl_id,player_name,player_position,role_proxy,n_deep_safeties,depth,lateral_from_mid,team_coverage_man_zone,team_coverage_type,num_frames_output,flight_time_s,ball_land_x,ball_land_y,absolute_yardline_number,play_direction,pass_result,pass_length,route_of_targeted_receiver,down,yards_to_go,offense_formation,receiver_alignment,expected_points_added,in_study,frozen_version
2023090700_361_46137,2023090700,361,46137,Justin Reid,SS,SPLIT_DEEP,2,11.39,8.469999999999999,ZONE_COVERAGE,COVER_4_ZONE,16,1.6,26.1000003814697,49.1800003051758,22,right,C,5,HITCH,3,7,SHOTGUN,3x1,-0.862062418367714,False,deep-v1
2023090700_461_46137,2023090700,461,46137,Justin Reid,SS,SPLIT_DEEP,2,10.810000000000002,5.359999999999999,ZONE_COVERAGE,COVER_6_ZONE,10,1.0,55.9099998474121,18.8299999237061,44,right,C,13,POST,1,10,SINGLEBACK,3x1,1.34563262574375,False,deep-v1
2023090700_461_54527,2023090700,461,54527,Bryan Cook,FS,SPLIT_DEEP,2,14.68,7.219999999999999,ZONE_COVERAGE,COVER_6_ZONE,10,1.0,55.9099998474121,18.8299999237061,44,right,C,13,POST,1,10,SINGLEBACK,3x1,1.34563262574375,False,deep-v1
2023090700_736_47888,2023090700,736,47888,C.J. Gardner-Johnson,SS,SINGLE_HIGH,1,10.790000000000006,4.18,MAN_COVERAGE,COVER_1_MAN,15,1.5,68.4700012207031,40.4500007629395,83,left,C,18,CORNER,3,8,SHOTGUN,3x1,2.71753888227977,False,deep-v1
2023090700_1154_54527,2023090700,1154,54527,Bryan Cook,FS,SINGLE_HIGH,1,13.72,2.360000000000003,ZONE_COVERAGE,COVER_3_ZONE,12,1.2,52.9599990844727,15.2399997711182,71,left,C,21,CROSS,2,7,I_FORM,2x1,1.89637397334445,False,deep-v1
2023090700_1422_47888,2023090700,1422,47888,C.J. Gardner-Johnson,SS,SINGLE_HIGH,1,17.0,3.120000000000001,MAN_COVERAGE,COVER_1_MAN,22,2.2,44.6199989318848,15.4499998092651,22,right,I,23,CORNER,3,5,SHOTGUN,3x1,-1.11127845849842,False,deep-v1
2023090700_1494_46137,2023090700,1494,46137,Justin Reid,SS,SPLIT_DEEP,2,13.659999999999997,6.550000000000004,ZONE_COVERAGE,COVER_3_ZONE,12,1.2,50.0499992370605,19.5300006866455,64,left,I,24,IN,2,5,SINGLEBACK,2x2,-0.647368222824298,False,deep-v1
2023090700_1494_54527,2023090700,1494,54527,Bryan Cook,FS,SPLIT_DEEP,2,11.619999999999996,8.459999999999997,ZONE_COVERAGE,COVER_3_ZONE,12,1.2,50.0499992370605,19.5300006866455,64,left,I,24,IN,2,5,SINGLEBACK,2x2,-0.647368222824298,False,deep-v1
2023090700_1588_47888,2023090700,1588,47888,C.J. Gardner-Johnson,SS,SINGLE_HIGH,1,11.53,7.719999999999999,ZONE_COVERAGE,COVER_4_ZONE,23,2.3,88.6100006103516,33.1100006103516,53,right,I,38,POST,1,10,SHOTGUN,2x2,-0.324034651275724,False,deep-v1
2023090700_1679_47888,2023090700,1679,47888,C.J. Gardner-Johnson,SS,SPLIT_DEEP,2,10.560000000000002,1.610000000000003,ZONE_COVERAGE,COVER_2_ZONE,18,1.8,76.4000015258789,25.6299991607666,46,right,C,33,GO,3,17,SHOTGUN,3x1,2.95163134561153,False,deep-v1
2023090700_1711_47888,2023090700,1711,47888,C.J. Gardner-Johnson,SS,SPLIT_DEEP,2,13.189999999999998,6.8700000000000045,ZONE_COVERAGE,COVER_2_ZONE,19,1.9,100.569999694824,50.0,80,right,C,23,CORNER,1,10,SHOTGUN,3x1,2.34294713230338,False,deep-v1
2023090700_1869_54527,2023090700,1869,54527,Bryan Cook,FS,SPLIT_DEEP,3,11.049999999999995,4.330000000000002,MAN_COVERAGE,COVER_1_MAN,7,0.7,72.0299987792969,31.0799999237061,76,left,C,6,HITCH,3,1,SHOTGUN,2x2,0.0911143853445537,False,deep-v1
2023090700_1940_54527,2023090700,1940,54527,Bryan Cook,FS,SPLIT_DEEP,2,16.82,7.259999999999998,ZONE_COVERAGE,COVER_2_ZONE,14,1.4,52.9799995422363,48.5,68,left,I,18,OUT,2,10,SHOTGUN,3x1,-0.0819641283596866,False,deep-v1
2023090700_2118_47888,2023090700,2118,47888,C.J. Gardner-Johnson,SS,SPLIT_DEEP,2,11.659999999999997,5.460000000000001,ZONE_COVERAGE,COVER_4_ZONE,8,0.8,55.5,34.5299987792969,47,right,I,9,IN,2,10,SHOTGUN,3x1,-1.05706391436979,False,deep-v1
2023090700_2186_46137,2023090700,2186,46137,Justin Reid,SS,SPLIT_DEEP,2,10.28,8.480000000000004,ZONE_COVERAGE,COVER_4_ZONE,7,0.7,100.730003356934,37.6500015258789,103,left,I,4,HITCH,1,10,SINGLEBACK,3x1,-0.681459367275238,False,deep-v1
2023090700_2510_54562,2023090700,2510,54562,Kerby Joseph,FS,SPLIT_DEEP,2,10.950000000000005,6.509999999999998,ZONE_COVERAGE,COVER_3_ZONE,8,0.8,49.3400001525879,15.5600004196167,45,right,C,5,HITCH,2,10,SHOTGUN,2x2,-0.0363277362193912,True,deep-v1
2023090700_2613_54527,2023090700,2613,54527,Bryan Cook,FS,SINGLE_HIGH,1,14.129999999999995,3.68,MAN_COVERAGE,COVER_1_MAN,12,1.2,69.7900009155273,22.3299999237061,87,left,C,18,IN,2,4,SINGLEBACK,3x1,1.44721733918414,False,deep-v1
2023090700_3089_54527,2023090700,3089,54527,Bryan Cook,FS,SINGLE_HIGH,1,19.989999999999995,0.7399999999999984,ZONE_COVERAGE,COVER_3_ZONE,11,1.1,81.5199966430664,28.6200008392334,97,left,C,17,POST,2,22,SHOTGUN,2x2,1.63580461591482,False,deep-v1
2023090700_3912_47888,2023090700,3912,47888,C.J. Gardner-Johnson,SS,SINGLE_HIGH,1,13.28,6.009999999999998,ZONE_COVERAGE,COVER_3_ZONE,13,1.3,47.9799995422363,35.8300018310547,65,left,I,19,CROSS,1,10,SINGLEBACK,2x2,-0.341856907121837,False,deep-v1
2023090700_3971_47888,2023090700,3971,47888,C.J. Gardner-Johnson,SS,SINGLE_HIGH,1,14.340000000000003,4.0,ZONE_COVERAGE,COVER_3_ZONE,8,0.8,68.7799987792969,28.3700008392334,75,left,I,7,HITCH,2,20,SHOTGUN,3x1,-0.6549717921298,False,deep-v1
2023090700_3994_54562,2023090700,3994,54562,Kerby Joseph,FS,SINGLE_HIGH,1,14.369999999999996,1.759999999999998,MAN_COVERAGE,COVER_1_MAN,18,1.8,55.9700012207031,40.5800018310547,75,left,I,20,CROSS,3,20,SHOTGUN,3x1,-1.21716773672961,True,deep-v1
2023090700_4041_47888,2023090700,4041,47888,C.J. Gardner-Johnson,SS,SPLIT_DEEP,2,23.880000000000003,6.130000000000003,ZONE_COVERAGE,COVER_2_ZONE,19,1.9,56.0800018310547,34.7599983215332,80,left,I,25,CORNER,4,25,SHOTGUN,3x1,-2.79222168284468,False,deep-v1
2023090700_4041_54562,2023090700,4041,54562,Kerby Joseph,FS,SPLIT_DEEP,2,24.43,9.5,ZONE_COVERAGE,COVER_2_ZONE,19,1.9,56.0800018310547,34.7599983215332,80,left,I,25,CORNER,4,25,SHOTGUN,3x1,-2.79222168284468,True,deep-v1
2023091000_185_46123,2023091000,185,46123,Jessie Bates,SS,SINGLE_HIGH,1,10.799999999999995,4.200000000000003,ZONE_COVERAGE,COVER_3_ZONE,9,0.9,55.5699996948242,27.7999992370605,66,left,C,11,IN,2,6,SHOTGUN,2x2,0.979371952824295,True,deep-v1
