rank,nfl_id,player_name,n_opps,roe,ci_lo,ci_hi,se,distinguishable,above_or_below
1,54502,Jalen Pitre,78,1.709224291205375,0.798601771104537,2.6266498434811667,0.4654338743711051,Yes,Above expected
2,54808,Reed Blankenship,91,1.5011694656310082,0.6804924877240766,2.2177135472759217,0.3887367776473626,Yes,Above expected
3,52453,Antoine Winfield Jr.,85,1.1174066877573792,0.333015728525059,1.8774167416437035,0.401182083300087,Yes,Above expected
4,44925,Eddie Jackson,57,0.946509052482898,-0.0097349318068469,1.8518390523878336,0.4778468323256054,No,Above expected
5,47891,Julian Love,51,0.7981837366391972,-0.2081079150227529,1.750334941029461,0.4975859981016303,No,Above expected
6,52444,Xavier McKinney,50,0.6542457892389032,-0.5269100263292716,1.7823136592493396,0.6059122162200113,No,Above expected
7,46123,Jessie Bates,94,0.6201693273174649,-0.0809773026402003,1.2885254338476393,0.3532403780675018,No,Above expected
8,54578,Percy Butler,61,0.4832448083614545,-0.7344050117427025,1.7569886590030814,0.6346948665562933,No,Above expected
9,53494,Andre Cisco,72,0.3839823798068876,-0.7915906502691631,1.4125281685983604,0.5429023934591385,No,Above expected
10,52627,Geno Stone,94,0.33706620796894,-0.4135478543484262,1.1162216987183664,0.4002875994933791,No,Above expected
11,46259,DeShon Elliott,61,0.3150015536515708,-0.5241764865594978,1.2147063944631036,0.4468279826052482,No,Above expected
12,44926,Rayshawn Jenkins,50,0.1776047062658859,-0.9773406944433712,1.2729208951401134,0.5657651087959238,No,Above expected
13,38868,Tashaun Gipson,59,0.1005922413939387,-0.986163272308496,1.12775510256443,0.5428644867558771,No,Above expected
14,53554,Camryn Bynum,76,0.0392333607719248,-0.7935082214702827,0.8124223493931437,0.3973988862864629,No,Above expected
15,54513,Jaquan Brisker,51,0.0364443712949634,-0.8990076234826798,0.913823220102402,0.4663771871103189,No,Above expected
16,40107,Micah Hyde,50,-0.0690888520556889,-1.1519293024567154,0.9976483658123853,0.5434414409476409,No,Below expected
17,52594,Alohi Gilman,71,-0.0836183313523135,-1.241339313956382,0.983635322444349,0.5744287013968425,No,Below expected
18,52607,Jordan Fuller,105,-0.2644257748705826,-1.167339315975079,0.5810587914050455,0.4483280618283053,No,Below expected
19,44962,Damontae Kazee,71,-0.3176046594318805,-1.0700666408794766,0.4455310660536787,0.388826400741459,No,Below expected
20,53604,Jason Pinnock,59,-0.3801163839363279,-1.5253887095811327,0.7372203582838109,0.5659944535928468,No,Below expected
21,53472,Tre'von Moehrig,67,-0.3901346938066853,-1.377995041206664,0.5583610851316211,0.484610984538309,No,Below expected
22,54562,Kerby Joseph,53,-0.4431422850841502,-1.859224087465123,0.8752508780025365,0.6966719720382927,No,Below expected
23,44827,Malik Hooker,61,-0.4941738100638856,-1.5599655922417988,0.5553640938007348,0.5467348806987478,No,Below expected
24,54718,Russ Yeast,58,-0.5154692741509196,-1.7400401343427012,0.6509719126744768,0.6205210925454562,No,Below expected
25,54704,Rodney Thomas,68,-0.6647331238600708,-1.7816241957986394,0.3592081524645453,0.553993970267571,No,Below expected
26,43387,Justin Simmons,76,-0.8756184964482683,-1.768771195428498,0.0438885806186315,0.4639927449993076,No,Below expected
27,47974,Marcus Epps,70,-1.1047060807816154,-2.3616776771288484,0.031366082586681,0.6258493784928002,No,Below expected
28,46086,Derwin James,50,-1.1251315252395937,-2.573483050619912,0.1612933838257372,0.702502703623075,No,Below expected
29,42543,Quandre Diggs,95,-1.2709337897396729,-2.0697470862662724,-0.4865730345534849,0.4057877843427517,Yes,Below expected
30,40017,Tyrann Mathieu,68,-1.3879439926468495,-2.390987135958849,-0.4347492229206312,0.4966926183437791,Yes,Below expected
