opportunity_id,player_name,role,roe,roe_tier,frame,x,y,ball_land_x,ball_land_y,flight_time_s
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,1,74.18,35.19,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,2,74.11,35.89,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,3,74.01,36.59,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,4,73.89,37.29,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,5,73.76,38.0,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,6,73.62,38.7,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,7,73.48,39.4,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,8,73.35,40.09,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,9,73.24,40.78,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,10,73.15,41.46,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,11,73.08,42.13,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,12,73.04,42.78,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,13,73.03,43.43,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,14,73.06,44.06,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,15,73.11,44.67,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,16,73.18,45.27,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,17,73.28,45.85,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,18,73.4,46.4,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,19,73.54,46.95,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,20,73.69,47.47,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,21,73.86,47.98,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,22,74.04,48.47,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,23,74.22,48.95,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,24,74.41,49.43,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,25,74.6,49.88,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,26,74.8,50.33,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,27,75.0,50.75,106.0,26.42,3.1
